student_key,course_week,group_code,quiz_completed,quiz_score_pct,task_submitted,submission_delay_minutes,task_attempts,monday_activity_count,recorded_attendance,concept_map_submitted,concept_coverage_pct,artifact_size_kb,previous_task_score_pct
SYN024,1,G04,1,70.6,1,-3.7,4,25,1,1,74.1,2257.7,76.0
SYN024,2,G04,1,64.8,1,-23.3,1,35,1,1,73.0,509.7,73.3
SYN024,3,G04,1,85.7,0,,0,33,1,1,80.7,232.6,70.6
SYN025,1,G07,1,92.7,1,29.1,3,34,1,1,49.2,414.0,63.4
SYN025,2,G07,1,71.7,1,100.8,3,40,1,1,68.2,655.7,85.2
SYN025,3,G07,1,86.6,1,40.6,1,39,1,0,,660.8,64.2
SYN026,1,G03,1,56.9,1,-8.3,6,14,1,1,52.9,317.8,68.2
SYN026,2,G03,1,50.0,1,51.9,1,20,1,1,57.8,240.1,63.4
SYN026,3,G03,0,,1,9.4,3,18,1,1,60.0,645.3,74.5
SYN027,1,G02,1,64.2,1,-41.8,1,25,1,1,76.5,443.2,
SYN027,2,G02,1,100.0,1,23.4,1,28,1,1,87.5,376.9,88.7
SYN027,3,G02,1,89.2,1,56.4,3,27,1,1,66.7,771.4,59.6
SYN028,1,G04,0,,0,,0,2,1,0,,355.8,
SYN028,2,G04,0,,1,43.6,3,17,1,0,,164.5,32.2
SYN028,3,G04,0,,1,78.2,1,7,0,0,,609.7,51.2
SYN029,1,G08,1,44.2,1,45.8,2,18,1,1,45.6,293.8,39.1
SYN029,2,G08,0,,1,5.2,2,32,1,1,53.6,686.3,50.0
SYN029,3,G08,1,39.7,1,62.4,2,26,1,1,38.7,898.9,62.3
SYN030,1,G04,0,,1,23.7,3,17,1,1,79.0,500.4,68.2
SYN030,2,G04,1,67.5,1,19.9,2,27,1,0,,445.0,59.6
SYN030,3,G04,0,,1,12.5,1,22,1,1,47.4,361.8,74.8
SYN031,1,G01,0,,1,31.2,5,23,1,1,58.6,697.9,50.6
SYN031,2,G01,1,35.5,1,77.4,3,31,1,1,59.3,397.6,35.9
SYN031,3,G01,0,,1,11.7,5,20,1,1,44.1,1024.8,65.0
SYN032,1,G05,1,44.2,1,-18.1,4,30,1,1,33.7,214.8,51.9
SYN032,2,G05,1,44.2,1,109.9,1,25,1,1,58.6,510.7,51.0
SYN032,3,G05,1,55.7,1,13.6,3,24,1,1,51.0,174.7,56.1
SYN033,1,G02,1,77.9,1,-67.5,1,29,1,1,72.4,1249.7,53.6
SYN033,2,G02,1,87.7,1,24.0,1,27,1,1,89.3,753.2,77.4
SYN033,3,G02,0,,1,39.9,1,32,1,1,84.1,435.4,65.3
SYN034,1,G03,1,57.9,1,68.5,5,10,0,1,50.5,240.3,42.2
SYN034,2,G03,1,48.2,1,113.0,3,15,1,1,26.5,345.8,47.2
SYN034,3,G03,1,58.2,1,56.1,1,22,1,1,60.8,251.4,64.2
SYN035,1,G01,1,81.7,1,-90.0,3,27,1,1,71.3,786.4,82.7
SYN035,2,G01,1,89.2,1,-90.0,1,22,1,1,80.5,373.6,72.8
SYN035,3,G01,1,90.9,1,-74.7,1,34,1,1,92.1,253.3,69.0
SYN036,1,G05,1,28.9,1,132.9,2,22,0,1,65.7,397.0,61.8
SYN036,2,G05,1,54.8,1,12.1,4,31,1,0,,383.3,75.5
SYN036,3,G05,1,63.1,1,27.4,1,20,1,1,55.6,382.8,63.5
SYN037,1,G01,1,87.1,1,58.9,1,37,1,1,66.5,858.8,51.4
SYN037,2,G01,1,77.7,1,-23.4,1,36,1,1,74.9,561.7,68.1
SYN037,3,G01,1,76.0,1,29.9,2,39,1,1,75.3,273.4,59.8
SYN038,1,G09,1,62.3,1,103.5,1,24,1,1,50.1,403.3,44.3
SYN038,2,G09,1,83.7,1,39.9,2,36,1,1,60.3,259.0,56.1
SYN038,3,G09,1,65.7,1,123.3,2,27,1,1,86.7,841.5,75.7
SYN039,1,G02,1,66.1,1,59.6,2,17,1,1,75.6,240.1,68.2
SYN039,2,G02,1,84.1,1,81.2,2,32,1,1,86.6,252.3,91.3
SYN039,3,G02,1,68.6,1,41.0,4,31,1,1,83.6,189.3,76.4
SYN040,1,G07,1,73.5,1,-70.2,3,23,1,1,80.1,261.6,94.3
SYN040,2,G07,0,,0,,0,23,1,0,,304.6,77.9
SYN040,3,G07,1,76.7,1,11.4,2,34,1,1,79.2,220.2,88.9
