student_key,course_week,group_code,current_quiz_score_pct,previous_task_score_pct,concept_map_score_pct,monday_activity_count,task_attempts,attendance_recorded,task_submitted,submission_delay_minutes,submission_timing,project_activity_count,prior_average_quiz_pct,cumulative_attendance_rate,next_week_quiz_grade_0_5,next_week_quiz_score_pct
SYN008,5,G02,,67.6,69.1,12,4,1,1,101.2,late,2.0,66.5,0.6,3,61.5
SYN008,6,G02,,58.9,,1,1,0,0,,not_submitted,2.0,65.7,0.5,3,61.9
SYN008,7,G02,61.9,64.4,68.8,1,5,0,1,60.3,late,0.0,65.1,0.429,2,56.7
SYN009,1,G01,58.5,44.3,58.1,24,1,1,1,47.3,late,,58.5,1.0,2,52.7
SYN009,2,G01,52.7,54.9,49.3,13,0,1,1,98.1,late,1.0,55.6,1.0,2,44.3
SYN009,3,G01,44.3,50.3,57.5,16,1,0,0,,not_submitted,0.0,51.8,0.667,3,60.6
SYN009,4,G01,60.6,49.5,57.8,21,2,1,1,-14.5,near_deadline,6.0,54.0,0.75,3,66.7
SYN009,5,G01,66.7,41.0,54.9,13,1,1,1,195.8,late,6.0,56.6,0.8,2,56.1
SYN009,6,G01,56.1,56.8,66.1,18,1,0,0,,not_submitted,2.0,56.5,0.667,3,67.9
SYN009,7,G01,67.9,62.7,,16,1,0,1,74.4,late,2.0,58.1,0.571,2,57.1
SYN010,1,G03,61.8,56.7,,19,1,1,1,20.8,near_deadline,3.0,61.8,1.0,2,50.4
SYN010,2,G03,50.4,42.8,63.2,23,1,1,1,7.0,near_deadline,2.0,56.1,1.0,3,68.0
SYN010,3,G03,68.0,55.2,78.4,21,3,1,1,-27.1,near_deadline,3.0,60.1,1.0,2,40.9
SYN010,4,G03,40.9,57.6,58.7,15,2,1,0,,not_submitted,8.0,55.3,1.0,2,47.2
SYN010,5,G03,47.2,47.2,67.8,21,0,1,1,-64.6,early,2.0,53.7,1.0,3,66.4
SYN010,6,G03,66.4,68.6,67.9,18,0,1,0,,not_submitted,3.0,55.8,1.0,2,44.1
SYN010,7,G03,44.1,,42.9,11,0,1,0,,not_submitted,5.0,54.1,1.0,2,49.5
SYN011,1,G06,70.8,63.6,66.9,15,1,0,1,34.5,late,3.0,70.8,0.0,3,69.3
SYN011,2,G06,69.3,70.3,67.7,14,0,1,1,42.8,late,1.0,70.0,0.5,3,63.4
SYN011,3,G06,63.4,,72.6,16,2,1,0,,not_submitted,4.0,67.8,0.667,2,57.4
SYN011,4,G06,57.4,,63.0,9,2,1,1,109.5,late,4.0,65.2,0.75,3,70.8
SYN011,5,G06,70.8,61.2,83.6,6,1,0,1,72.5,late,2.0,66.3,0.6,3,66.2
SYN011,6,G06,66.2,72.4,82.4,29,0,1,0,,not_submitted,1.0,66.3,0.667,3,79.6
SYN011,7,G06,79.6,81.1,71.4,17,1,1,1,-11.5,near_deadline,0.0,68.2,0.714,2,56.6
SYN012,1,G05,85.1,84.9,70.7,22,1,0,0,,not_submitted,4.0,85.1,0.0,3,78.0
SYN012,2,G05,78.0,59.5,72.0,21,4,1,1,108.5,late,4.0,81.6,0.5,3,75.3
SYN012,3,G05,75.3,67.6,83.6,21,3,1,1,136.6,late,2.0,79.5,0.667,3,78.4
SYN012,4,G05,78.4,75.8,78.6,16,0,1,1,48.5,late,2.0,79.2,0.75,4,86.2
SYN012,5,G05,86.2,82.1,76.8,26,1,1,0,,not_submitted,6.0,80.6,0.8,3,78.9
SYN012,6,G05,78.9,72.8,82.3,22,0,0,0,,not_submitted,5.0,80.3,0.667,4,85.9
SYN012,7,G05,85.9,73.6,78.1,11,1,0,0,,not_submitted,2.0,81.1,0.571,4,86.7
SYN013,1,G10,,56.0,55.3,13,0,1,1,-40.7,early,3.0,51.4,1.0,2,47.7
SYN013,2,G10,47.7,49.8,68.2,15,2,1,1,142.5,late,2.0,49.6,1.0,2,53.3
SYN013,3,G10,53.3,51.1,49.6,11,0,1,1,12.7,near_deadline,2.0,50.8,1.0,3,62.0
SYN013,4,G10,62.0,58.0,50.9,17,1,1,1,24.7,near_deadline,2.0,53.6,1.0,2,56.6
SYN013,5,G10,56.6,50.9,59.1,3,2,0,1,125.3,late,1.0,54.2,0.8,2,55.3
SYN013,6,G10,,60.5,61.4,5,1,1,1,1.0,near_deadline,2.0,54.4,0.833,2,59.1
SYN013,7,G10,59.1,62.5,72.5,15,3,1,1,-54.2,early,4.0,55.1,0.857,2,56.4
SYN014,1,G10,71.3,70.8,85.0,26,3,1,1,9.1,near_deadline,7.0,71.3,1.0,3,61.3
SYN014,2,G10,61.3,,78.2,25,3,1,1,-70.3,early,2.0,66.3,1.0,4,85.5
SYN014,3,G10,85.5,79.8,80.0,30,1,1,1,-81.7,early,6.0,72.7,1.0,3,75.2
SYN014,4,G10,75.2,67.7,78.7,31,0,1,1,-43.3,early,5.0,73.3,1.0,3,74.7
SYN014,5,G10,,81.3,77.3,25,2,1,1,12.9,near_deadline,4.0,73.6,1.0,3,77.4
SYN014,6,G10,77.4,,77.0,29,1,0,0,,not_submitted,5.0,74.2,0.833,3,79.1
SYN014,7,G10,79.1,76.1,78.4,23,2,1,1,-97.3,early,6.0,74.9,0.857,3,79.6
SYN015,1,G09,85.5,90.0,88.6,31,1,1,1,-40.1,early,3.0,85.5,1.0,4,94.5
SYN015,2,G09,94.5,75.5,80.0,22,1,1,1,-106.6,early,4.0,90.0,1.0,3,76.4
SYN015,3,G09,76.4,68.7,80.4,23,0,1,1,-34.6,early,7.0,85.5,1.0,4,83.4
SYN015,4,G09,83.4,73.2,82.9,25,1,1,1,2.8,near_deadline,3.0,85.0,1.0,3,76.3
SYN015,5,G09,76.3,76.6,78.7,20,2,0,1,-50.0,early,3.0,83.2,0.8,3,75.9
SYN015,6,G09,75.9,69.0,67.9,31,0,1,1,-48.6,early,3.0,82.0,0.833,4,81.6
SYN015,7,G09,81.6,62.8,63.2,22,1,1,0,,not_submitted,5.0,81.9,0.857,3,76.1
SYN016,1,G07,40.2,55.1,49.3,6,4,0,1,214.1,late,1.0,40.2,0.0,3,60.1
SYN016,2,G07,60.1,58.0,55.9,8,1,0,1,97.9,late,1.0,50.1,0.0,2,58.2
SYN016,3,G07,58.2,64.3,44.2,1,2,0,0,,not_submitted,0.0,52.8,0.0,2,54.5
SYN016,4,G07,54.5,60.1,50.5,13,2,1,1,28.7,near_deadline,0.0,53.2,0.25,2,58.4
SYN016,5,G07,58.4,,58.1,9,2,1,1,72.6,late,0.0,54.3,0.4,3,61.6
SYN016,6,G07,61.6,69.3,72.0,19,4,1,1,-4.1,near_deadline,0.0,55.5,0.5,2,51.7
SYN016,7,G07,51.7,61.9,58.4,10,1,1,1,-7.8,near_deadline,2.0,55.0,0.571,2,54.4
SYN017,1,G06,20.0,42.3,45.1,6,0,0,1,94.7,late,2.0,20.0,0.0,1,29.1
SYN017,2,G06,29.1,42.9,52.6,15,2,0,1,127.7,late,0.0,24.6,0.0,1,37.3
SYN017,3,G06,37.3,,42.6,8,0,1,0,,not_submitted,0.0,28.8,0.333,1,28.6
SYN017,4,G06,28.6,38.7,40.3,12,1,0,1,92.7,late,1.0,28.8,0.25,1,29.1
SYN017,5,G06,29.1,28.4,34.7,11,1,0,1,46.2,late,1.0,28.8,0.2,0,16.0
SYN017,6,G06,16.0,29.1,33.1,13,3,1,0,,not_submitted,1.0,26.7,0.333,1,36.0
SYN017,7,G06,36.0,26.3,,12,1,1,1,102.1,late,2.0,28.0,0.429,1,29.3
SYN018,1,G05,40.1,55.6,58.6,17,3,0,1,109.0,late,3.0,40.1,0.0,2,48.5
SYN018,2,G05,48.5,60.9,70.2,24,0,1,1,-90.3,early,5.0,44.3,0.5,3,64.6
SYN018,3,G05,64.6,68.1,79.5,22,1,1,1,54.7,late,3.0,51.1,0.667,2,54.3
SYN018,4,G05,54.3,39.9,55.2,17,1,1,1,81.3,late,3.0,51.9,0.75,2,50.3
SYN018,5,G05,50.3,51.0,70.7,24,2,1,1,-11.0,near_deadline,4.0,51.6,0.8,2,52.8
SYN018,6,G05,52.8,52.5,66.1,26,0,1,1,-54.3,early,3.0,51.8,0.833,3,63.9
SYN018,7,G05,63.9,66.9,75.8,29,1,0,1,-71.8,early,4.0,53.5,0.714,2,57.7
SYN019,1,G09,80.2,69.3,,34,2,1,1,-26.4,near_deadline,5.0,80.2,1.0,3,72.5
SYN019,2,G09,72.5,,79.2,35,2,1,1,-50.6,early,5.0,76.3,1.0,3,79.5
SYN019,3,G09,79.5,69.1,,17,1,1,1,41.7,late,5.0,77.4,1.0,4,82.2
SYN019,4,G09,82.2,49.5,85.8,32,0,1,1,13.7,near_deadline,3.0,78.6,1.0,3,69.9
SYN019,5,G09,69.9,61.7,,19,1,1,1,-11.9,near_deadline,5.0,76.9,1.0,3,71.8
SYN019,6,G09,71.8,43.2,76.4,25,0,1,1,-21.1,near_deadline,5.0,76.0,1.0,3,74.7
SYN019,7,G09,74.7,61.4,75.6,25,2,1,1,16.0,near_deadline,4.0,75.8,1.0,3,70.9
SYN020,1,G10,68.6,68.4,64.8,15,1,1,1,-39.4,early,3.0,68.6,1.0,3,70.3
SYN020,2,G10,70.3,75.5,66.5,19,1,1,1,-21.8,near_deadline,3.0,69.5,1.0,3,62.9
SYN020,3,G10,62.9,71.0,63.3,11,1,1,1,-19.9,near_deadline,3.0,67.3,1.0,3,75.2
SYN020,4,G10,75.2,95.0,70.5,26,0,1,1,-120.0,early,4.0,69.3,1.0,3,79.2
SYN020,5,G10,79.2,72.2,79.6,23,3,1,1,-29.1,near_deadline,2.0,71.3,1.0,4,82.0
SYN020,6,G10,82.0,67.0,66.4,16,1,1,1,71.9,late,,73.1,1.0,3,66.9
SYN020,7,G10,66.9,61.3,67.0,25,2,1,1,29.2,near_deadline,3.0,72.2,1.0,3,62.2
SYN021,1,G05,52.1,53.1,62.4,12,1,0,1,-34.9,early,1.0,52.1,0.0,2,54.9
SYN021,2,G05,54.9,56.8,64.9,25,2,1,1,34.7,late,3.0,53.5,0.5,2,49.3
SYN021,3,G05,,42.5,58.7,14,2,1,0,,not_submitted,2.0,52.1,0.667,2,54.0
SYN021,4,G05,54.0,55.1,66.3,16,1,1,1,40.4,late,1.0,52.6,0.75,1,37.6
SYN021,5,G05,37.6,51.1,50.1,5,4,1,0,,not_submitted,2.0,49.6,0.8,2,51.1
SYN021,6,G05,,52.6,57.7,22,0,1,0,,not_submitted,1.0,49.8,0.833,2,56.7
SYN021,7,G05,56.7,48.1,56.6,8,0,1,1,14.6,near_deadline,,50.8,0.857,2,58.4
SYN022,1,G04,69.3,,80.1,15,2,1,1,-1.8,near_deadline,0.0,69.3,1.0,3,69.8
SYN022,2,G04,69.8,68.9,80.0,22,0,1,1,49.9,late,1.0,69.5,1.0,3,67.5
SYN022,3,G04,67.5,76.6,60.5,16,4,1,1,54.3,late,1.0,68.9,1.0,4,91.9
SYN022,4,G04,91.9,93.2,89.8,27,3,1,1,25.2,near_deadline,2.0,74.6,1.0,4,86.9
SYN022,5,G04,86.9,,68.3,21,2,1,1,52.9,late,0.0,77.1,1.0,4,89.1
SYN022,6,G04,89.1,79.1,88.9,23,1,1,1,39.4,late,2.0,79.1,1.0,4,83.8
SYN022,7,G04,83.8,73.1,77.8,14,0,0,0,,not_submitted,2.0,79.8,0.857,3,76.5
SYN023,1,G09,57.7,50.4,63.6,24,1,1,1,-21.4,near_deadline,2.0,57.7,1.0,2,53.2
SYN023,2,G09,53.2,49.9,69.3,15,1,1,0,,not_submitted,4.0,55.4,1.0,2,46.3
SYN023,3,G09,46.3,58.2,57.5,26,3,1,1,70.7,late,4.0,52.4,1.0,3,64.8
SYN023,4,G09,,68.6,,33,2,1,1,-48.3,early,4.0,55.5,1.0,3,60.7
SYN023,5,G09,60.7,71.5,64.5,28,0,1,0,,not_submitted,2.0,56.5,1.0,3,66.3
SYN023,6,G09,66.3,,,20,1,1,1,-22.3,near_deadline,4.0,58.1,1.0,3,60.7
SYN023,7,G09,60.7,55.3,59.8,22,3,1,0,,not_submitted,4.0,58.5,1.0,3,62.9
SYN024,1,G01,85.5,75.8,80.6,21,4,1,1,66.7,late,4.0,85.5,1.0,4,94.3
SYN024,2,G01,94.3,,85.2,17,0,1,1,90.8,late,4.0,89.9,1.0,4,84.5
SYN024,3,G01,84.5,,99.0,26,1,1,0,,not_submitted,5.0,88.1,1.0,4,85.4
SYN024,4,G01,85.4,70.0,82.1,16,1,1,1,28.5,near_deadline,2.0,87.4,1.0,4,83.9
SYN024,5,G01,83.9,79.8,91.4,21,4,0,1,-47.6,early,2.0,86.7,0.8,4,93.4
SYN024,6,G01,93.4,94.7,91.5,21,0,1,1,-12.5,near_deadline,5.0,87.8,0.833,4,97.4
SYN024,7,G01,97.4,88.7,83.9,17,1,1,1,-83.5,early,3.0,89.2,0.857,4,86.0
SYN025,1,G03,77.0,58.2,79.0,25,0,1,0,,not_submitted,4.0,77.0,1.0,2,59.3
SYN025,2,G03,59.3,66.0,62.7,25,2,1,1,41.8,late,6.0,68.2,1.0,2,51.9
SYN025,3,G03,51.9,55.5,59.0,22,0,1,0,,not_submitted,5.0,62.7,1.0,2,55.1
SYN025,4,G03,55.1,57.3,75.0,23,4,1,1,77.4,late,3.0,60.8,1.0,2,58.1
SYN025,5,G03,58.1,62.3,64.8,17,3,1,1,-16.8,near_deadline,4.0,60.3,1.0,2,45.8
SYN025,6,G03,45.8,54.4,58.0,23,1,1,1,-34.1,early,4.0,57.9,1.0,3,60.3
SYN025,7,G03,60.3,58.3,57.4,20,0,1,1,-93.5,early,5.0,58.2,1.0,3,67.0
SYN026,1,G05,63.2,57.8,66.3,14,0,1,1,10.2,near_deadline,0.0,63.2,1.0,2,46.5
SYN026,2,G05,46.5,72.8,66.4,8,2,1,1,41.8,late,1.0,54.8,1.0,2,57.2
SYN026,3,G05,57.2,57.2,77.8,18,0,1,1,63.8,late,2.0,55.6,1.0,3,66.6
SYN026,4,G05,,64.8,58.4,21,1,1,1,-47.0,early,0.0,58.4,1.0,2,58.1
SYN026,5,G05,58.1,57.3,72.6,7,2,0,1,15.5,near_deadline,0.0,58.3,0.8,3,67.4
SYN026,6,G05,67.4,65.3,66.7,9,0,0,1,-59.0,early,1.0,59.9,0.667,2,59.0
SYN026,7,G05,59.0,51.9,50.5,6,0,1,1,56.0,late,1.0,59.7,0.714,3,66.1
SYN027,1,G04,45.2,58.0,51.7,21,1,1,1,125.9,late,4.0,45.2,1.0,1,37.2
SYN027,2,G04,37.2,50.4,57.1,19,1,0,1,92.5,late,4.0,41.2,0.5,2,45.7
SYN027,3,G04,45.7,52.4,57.8,23,0,1,1,39.6,late,4.0,42.7,0.667,2,40.9
SYN027,4,G04,40.9,60.5,59.2,17,3,1,1,-6.0,near_deadline,3.0,42.3,0.75,2,56.5
SYN027,5,G04,56.5,63.0,58.5,15,2,1,1,54.4,late,5.0,45.1,0.8,3,74.9
SYN027,6,G04,74.9,66.3,62.5,17,1,1,1,27.4,near_deadline,4.0,50.1,0.833,3,75.9
SYN027,7,G04,75.9,74.2,75.2,18,3,0,1,60.1,late,4.0,53.8,0.714,2,55.8
SYN028,1,G02,69.4,76.8,58.9,28,0,1,0,,not_submitted,5.0,69.4,1.0,2,57.3
SYN028,2,G02,57.3,,64.3,29,1,1,1,48.0,late,5.0,63.3,1.0,2,56.0
SYN028,3,G02,56.0,57.5,58.7,19,3,1,1,2.2,near_deadline,4.0,60.9,1.0,3,67.2
SYN028,4,G02,67.2,56.5,59.0,23,0,1,0,,not_submitted,3.0,62.5,1.0,2,54.3
SYN028,5,G02,54.3,35.7,59.4,25,3,1,1,8.7,near_deadline,5.0,60.8,1.0,3,71.7
SYN028,6,G02,71.7,57.3,61.5,15,2,0,1,-14.7,near_deadline,4.0,62.6,0.833,2,50.2
SYN028,7,G02,50.2,51.7,81.6,26,2,1,1,37.3,late,6.0,60.9,0.857,3,76.4
SYN029,1,G04,91.8,100.0,,30,1,0,1,-120.0,early,5.0,91.8,0.0,4,92.1
SYN029,2,G04,92.1,88.6,100.0,31,3,1,0,,not_submitted,5.0,92.0,0.5,5,100.0
SYN029,3,G04,100.0,81.5,93.1,23,3,0,1,46.9,late,1.0,94.7,0.333,5,100.0
SYN029,4,G04,100.0,81.5,91.1,21,1,1,1,26.6,near_deadline,4.0,96.0,0.5,4,88.8
SYN029,5,G04,88.8,87.0,93.2,23,2,1,1,-10.4,near_deadline,4.0,94.6,0.6,4,95.0
SYN029,6,G04,95.0,77.9,88.2,27,2,1,1,-10.6,near_deadline,4.0,94.6,0.667,5,100.0
SYN029,7,G04,100.0,100.0,97.0,26,2,1,1,-16.6,near_deadline,7.0,95.4,0.714,5,100.0
SYN030,1,G10,65.9,66.9,65.5,24,1,1,1,32.1,late,5.0,65.9,1.0,3,64.5
SYN030,2,G10,64.5,58.8,70.2,21,2,1,1,-12.3,near_deadline,6.0,65.2,1.0,2,55.4
SYN030,3,G10,55.4,,66.7,26,1,1,1,-24.5,near_deadline,5.0,61.9,1.0,2,57.4
SYN030,4,G10,57.4,58.0,,17,3,1,0,,not_submitted,,60.8,1.0,2,56.1
SYN030,5,G10,56.1,60.9,63.7,29,2,1,1,44.8,late,1.0,59.9,1.0,3,77.2
SYN030,6,G10,,69.8,77.6,27,0,1,1,43.2,late,5.0,62.8,1.0,3,79.5
SYN030,7,G10,79.5,68.0,63.9,27,1,1,1,75.1,late,5.0,65.2,1.0,3,67.1
SYN031,1,G03,70.4,59.2,53.5,23,0,0,1,46.9,late,1.0,70.4,0.0,3,72.0
SYN031,2,G03,72.0,56.7,,20,1,1,1,-24.1,near_deadline,6.0,71.2,0.5,3,66.9
SYN031,3,G03,66.9,60.1,81.1,21,0,1,0,,not_submitted,4.0,69.8,0.667,2,59.6
SYN031,4,G03,59.6,64.1,86.4,16,1,1,1,-26.4,near_deadline,3.0,67.2,0.75,3,75.5
SYN031,5,G03,75.5,61.7,84.1,19,1,1,1,105.8,late,3.0,68.9,0.8,4,88.6
SYN031,6,G03,88.6,77.8,92.5,17,1,0,1,-17.7,near_deadline,0.0,72.2,0.667,3,74.1
SYN031,7,G03,74.1,60.2,75.5,14,1,1,1,-43.0,early,3.0,72.5,0.714,3,77.1
SYN032,1,G08,47.4,47.4,,15,2,1,1,-69.4,early,,47.4,1.0,2,55.2
SYN032,2,G08,55.2,56.7,54.4,25,0,1,1,9.5,near_deadline,2.0,51.3,1.0,2,48.7
SYN032,3,G08,48.7,40.1,40.3,12,1,0,0,,not_submitted,0.0,50.4,0.667,2,57.8
SYN032,4,G08,57.8,64.1,63.9,11,2,0,1,-51.4,early,0.0,52.3,0.5,2,52.7
SYN032,5,G08,52.7,61.2,66.1,10,5,1,1,25.1,near_deadline,1.0,52.3,0.6,2,59.9
SYN032,6,G08,59.9,74.7,68.2,15,0,1,1,2.8,near_deadline,4.0,53.6,0.667,3,60.1
SYN032,7,G08,60.1,75.9,55.7,14,3,1,1,-15.2,near_deadline,3.0,54.5,0.714,2,52.4
SYN033,1,G07,77.4,,,27,1,1,1,-99.5,early,,77.4,1.0,4,82.8
SYN033,2,G07,82.8,54.8,73.0,19,2,1,1,-38.5,early,4.0,80.1,1.0,4,89.4
SYN033,3,G07,89.4,84.8,85.4,29,1,1,1,-81.6,early,4.0,83.2,1.0,4,84.8
SYN033,4,G07,84.8,74.8,82.7,29,0,1,0,,not_submitted,6.0,83.6,1.0,4,91.6
SYN033,5,G07,91.6,64.9,76.0,25,0,0,1,31.4,late,1.0,85.2,0.8,4,81.4
SYN033,6,G07,81.4,61.8,91.3,23,1,1,1,-0.9,near_deadline,4.0,84.6,0.833,4,91.4
SYN033,7,G07,91.4,79.2,81.9,28,2,1,1,-60.7,early,5.0,85.5,0.857,4,87.8
SYN034,1,G02,47.2,50.1,38.2,4,2,1,1,56.5,late,2.0,47.2,1.0,2,47.2
SYN034,2,G02,47.2,,69.5,12,1,1,1,60.6,late,0.0,47.2,1.0,2,48.9
SYN034,3,G02,48.9,69.9,56.9,17,1,0,1,-27.6,near_deadline,0.0,47.8,0.667,2,56.9
SYN034,4,G02,56.9,63.9,45.6,7,2,0,1,92.8,late,0.0,50.1,0.5,2,41.7
SYN034,5,G02,41.7,,47.1,12,3,0,1,-13.8,near_deadline,0.0,48.4,0.4,2,52.5
SYN034,6,G02,52.5,63.0,40.5,6,1,0,1,31.2,late,1.0,49.1,0.333,2,58.0
SYN034,7,G02,58.0,,52.1,6,4,1,1,52.0,late,0.0,50.3,0.429,2,58.6
SYN035,1,G03,59.5,54.9,60.7,12,1,1,1,-57.1,early,1.0,59.5,1.0,3,63.9
SYN035,2,G03,63.9,50.1,57.1,10,2,1,1,13.9,near_deadline,3.0,61.7,1.0,3,74.4
SYN035,3,G03,74.4,66.4,71.7,14,0,1,0,,not_submitted,2.0,65.9,1.0,3,63.5
SYN035,4,G03,63.5,53.3,68.3,7,0,0,0,,not_submitted,3.0,65.3,0.75,2,57.5
SYN035,5,G03,57.5,59.5,57.2,16,1,1,0,,not_submitted,4.0,63.8,0.8,2,58.6
SYN035,6,G03,58.6,54.6,67.2,17,0,1,1,62.8,late,3.0,62.9,0.833,3,70.0
SYN035,7,G03,70.0,48.1,65.6,10,0,1,1,8.7,near_deadline,0.0,63.9,0.857,3,72.7
SYN036,1,G01,65.8,66.3,75.1,15,2,1,1,-37.1,early,4.0,65.8,1.0,3,62.3
SYN036,2,G01,62.3,62.2,66.2,20,1,1,1,57.4,late,3.0,64.0,1.0,3,63.1
SYN036,3,G01,63.1,37.1,55.3,7,1,0,1,-22.4,near_deadline,2.0,63.7,0.667,2,59.8
SYN036,4,G01,59.8,60.0,58.8,20,1,1,1,66.2,late,4.0,62.7,0.75,2,59.1
